0 strains,1 strain,2 strains,3 or more strains
2027051,4241843,4236402,4494704
2031345,4241922,4232115,4494618
2026252,4242132,4234006,4497610
2030604,4241420,4234713,4493263
2031396,4241806,4233002,4493796
2026868,4242796,4236421,4493915
2029273,4241672,4234084,4494971
2031219,4244494,4230824,4493463
2029901,4243042,4236666,4490391
2031438,4240787,4235731,4492044
2031463,4242325,4234940,4491272
2027825,4243351,4233740,4495084
2030012,4244093,4232954,4492941
2030854,4242401,4233582,4493163
2029907,4238439,4236786,4494868
2029798,4240370,4233517,4496315
2030871,4240140,4235251,4493738
2031002,4244142,4232978,4491878
2028122,4242930,4235061,4493887
2029894,4244078,4231900,4494128
2031334,4243580,4235685,4489401
2026690,4245217,4234253,4493840
2030189,4245110,4233024,4491677
2029685,4242393,4233687,4494235
2031395,4239305,4233334,4495966
2030165,4240919,4233682,4495234
2031083,4241547,4233975,4493395
2028312,4241742,4233000,4496946
2030256,4240792,4232786,4496166
2029464,4242441,4234400,4493695
2030551,4239242,4233876,4496331
2029693,4242226,4233410,4494671
2027902,4243203,4232707,4496188
2030372,4241013,4234301,4494314
2029600,4244968,4231847,4493585
2029678,4243258,4233413,4493651
2031705,4240000,4233210,4495085
2031969,4241116,4230892,4496023
2027936,4243091,4235731,4493242
2030334,4242336,4233654,4493676
2030266,4239401,4234570,4495763
2031207,4244069,4230063,4494661
2030509,4241732,4234908,4492851
2031467,4244043,4229924,4494566
2031896,4241506,4233123,4493475
2030787,4244656,4234639,4489918
2032099,4239816,4234014,4494071
2030841,4240342,4236608,4492209
2028379,4243855,4232931,4494835
2029885,4242240,4233741,4494134
2031208,4241367,4235650,4491775
2029217,4242314,4233292,4495177
2029317,4241087,4235627,4493969
2030480,4241559,4234099,4493862
2031653,4239517,4234090,4494740
2028039,4243474,4234558,4493929
2028578,4239374,4235802,4496246
2029613,4239418,4236096,4494873
2029253,4243862,4230984,4495901
2029101,4243686,4233474,4493739
2030948,4242311,4232226,4494515
2029630,4243128,4234270,4492972
2029595,4241180,4234830,4494395
2031100,4242083,4233248,4493569
2032399,4239839,4232352,4495410
2028041,4243311,4230392,4498256
2030067,4240335,4234676,4494922
2029972,4240025,4233309,4496694
2031058,4239403,4234780,4494759
2030083,4244021,4232904,4492992
2029693,4249502,4228138,4492667
2031102,4244266,4231786,4492846
2031441,4240974,4233069,4494516
2030799,4242236,4235527,4491438
2030770,4242283,4234862,4492085
2031601,4242925,4230842,4494632
2027489,4244711,4232515,4495285
2030871,4238825,4232255,4498049
2030900,4246585,4232330,4490185
2028154,4240601,4236927,4494318
2030225,4240474,4234516,4494785
2030371,4243689,4232284,4493656
